gamesid,appName,appType,price,release_Date,rating,requiredAge,is_Multiplayer,steam_appid,average_forever,owners,achievement,ownersNumerical
10,Counter-Strike,game,9.99,2000-11-01 00:00:00,88,0,1,10,17612,"10,000,000 .. 20,000,000",Yes,1500000
20,Team Fortress Classic,game,4.99,1999-04-01 00:00:00,-1,0,1,20,277,"5,000,000 .. 10,000,000",Yes,7500000
30,Day of Defeat,game,4.99,2003-05-01 00:00:00,79,0,1,30,187,"5,000,000 .. 10,000,000",Yes,7500000
40,Deathmatch Classic,game,4.99,2001-06-01 00:00:00,-1,0,1,40,258,"5,000,000 .. 10,000,000",Yes,7500000
50,Half-Life: Opposing Force,game,4.99,1999-11-01 00:00:00,-1,0,1,50,624,"5,000,000 .. 10,000,000",Yes,7500000
60,Ricochet,game,4.99,2000-11-01 00:00:00,-1,0,1,60,175,"5,000,000 .. 10,000,000",Yes,7500000
70,Half-Life,game,9.99,1998-11-08 00:00:00,96,0,1,70,1300,"5,000,000 .. 10,000,000",Yes,7500000
80,Counter-Strike: Condition Zero,game,9.99,2004-03-01 00:00:00,65,0,1,80,427,"10,000,000 .. 20,000,000",Yes,1500000
130,Half-Life: Blue Shift,game,4.99,2001-06-01 00:00:00,71,0,0,130,361,"5,000,000 .. 10,000,000",Yes,7500000
220,Half-Life 2,game,9.99,2004-11-16 00:00:00,96,0,0,220,691,"10,000,000 .. 20,000,000",Yes,1500000
240,Counter-Strike: Source,game,19.99,2004-11-01 00:00:00,88,0,1,240,6842,"10,000,000 .. 20,000,000",Yes,1500000
280,Half-Life: Source,game,9.99,2004-06-01 00:00:00,-1,0,0,280,190,"2,000,000 .. 5,000,000",Yes,3500000
300,Day of Defeat: Source,game,9.99,2010-07-12 00:00:00,80,0,1,300,1356,"5,000,000 .. 10,000,000",Yes,7500000
320,Half-Life 2: Deathmatch,game,4.99,2004-11-01 00:00:00,-1,0,1,320,311,"10,000,000 .. 20,000,000",Yes,1500000
340,Half-Life 2: Lost Coast,game,0.0,2005-10-27 00:00:00,-1,0,0,340,46,"10,000,000 .. 20,000,000",Yes,1500000
360,Half-Life Deathmatch: Source,game,9.99,2006-05-01 00:00:00,-1,0,1,360,102,"5,000,000 .. 10,000,000",Yes,7500000
380,Half-Life 2: Episode One,game,7.99,2006-06-01 00:00:00,87,0,0,380,281,"5,000,000 .. 10,000,000",Yes,7500000
400,Portal,game,9.99,2007-10-10 00:00:00,90,0,0,400,288,"10,000,000 .. 20,000,000",Yes,1500000
420,Half-Life 2: Episode Two,game,7.99,2007-10-10 00:00:00,90,0,0,420,354,"5,000,000 .. 10,000,000",Yes,7500000
440,Team Fortress 2,game,0.0,2007-10-10 00:00:00,92,0,1,440,8495,"20,000,000 .. 50,000,000",Yes,35000000
500,Left 4 Dead,game,19.99,2008-11-17 00:00:00,89,0,1,500,897,"5,000,000 .. 10,000,000",Yes,7500000
550,Left 4 Dead 2,game,19.99,2009-11-16 00:00:00,89,0,1,550,1615,"10,000,000 .. 20,000,000",Yes,1500000
570,Dota 2,game,0.0,2013-07-09 00:00:00,90,0,1,570,23944,"100,000,000 .. 200,000,000",Yes,150000000
620,Portal 2,game,19.99,2011-04-18 00:00:00,95,0,0,620,1102,"10,000,000 .. 20,000,000",Yes,1500000
630,Alien Swarm,game,0.0,2010-07-19 00:00:00,77,0,1,630,371,"2,000,000 .. 5,000,000",Yes,3500000
730,Counter-Strike: Global Offensive,game,14.99,2012-08-21 00:00:00,83,0,1,730,22494,"50,000,000 .. 100,000,000",Yes,75000000
1002,Rag Doll Kung Fu,game,9.99,2005-10-12 00:00:00,69,0,1,1002,0,"20,000 .. 50,000",Yes,35000
1200,Red Orchestra: Ostfront 41-45,game,9.99,2006-03-14 00:00:00,81,0,1,1200,232,"500,000 .. 1,000,000",Yes,750000
1250,Killing Floor,game,19.99,2009-05-14 00:00:00,72,17,1,1250,1328,"2,000,000 .. 5,000,000",Yes,3500000
1300,SiN Episodes: Emergence,game,9.99,2006-05-10 00:00:00,75,0,0,1300,0,"100,000 .. 200,000",Yes,150000
1500,Darwinia,game,9.99,2005-07-14 00:00:00,84,0,0,1500,182,"500,000 .. 1,000,000",Yes,750000
1510,Uplink,game,9.99,2006-08-23 00:00:00,75,0,0,1510,65,"500,000 .. 1,000,000",Yes,750000
1520,DEFCON,game,9.99,2006-09-29 00:00:00,84,0,1,1520,80,"500,000 .. 1,000,000",Yes,750000
1530,Multiwinia,game,9.99,2008-09-19 00:00:00,76,0,1,1530,121,"500,000 .. 1,000,000",Yes,750000
1600,Dangerous Waters,game,14.99,2006-02-07 00:00:00,82,0,1,1600,0,"50,000 .. 100,000",Yes,75000
1610,Space Empires IV Deluxe,game,9.99,2006-02-07 00:00:00,79,0,1,1610,0,"50,000 .. 100,000",Yes,75000
1630,Disciples II: Rise of the Elves ,game,6.49,2006-07-06 00:00:00,80,0,1,1630,0,"100,000 .. 200,000",Yes,150000
1640,Disciples II: Gallean's Return,game,6.49,2006-07-06 00:00:00,84,0,1,1640,9,"100,000 .. 200,000",Yes,150000
1670,Iron Warriors: T - 72 Tank Command ,game,4.99,2006-07-26 00:00:00,56,0,1,1670,0,"20,000 .. 50,000",Yes,35000
1690,Space Empires V,game,14.99,2006-10-16 00:00:00,68,0,1,1690,35,"50,000 .. 100,000",Yes,75000
1700,Arx Fatalis,game,4.99,2007-04-03 00:00:00,77,0,0,1700,11,"100,000 .. 200,000",Yes,150000
1900,Earth 2160,game,4.99,2006-04-01 00:00:00,73,0,1,1900,405,"1,000,000 .. 2,000,000",Yes,150000
1930,Two Worlds Epic Edition,game,9.99,2009-04-30 00:00:00,65,17,1,1930,484,"1,000,000 .. 2,000,000",Yes,150000
2100,Dark Messiah of Might & Magic,game,9.99,2006-10-25 00:00:00,72,17,1,2100,634,"1,000,000 .. 2,000,000",Yes,150000
2200,Quake III Arena,game,19.99,2007-08-03 00:00:00,-1,0,1,2200,123,"200,000 .. 500,000",Yes,250000
2210,Quake IV,game,19.99,2011-08-04 00:00:00,81,17,1,2210,36,"200,000 .. 500,000",Yes,250000
2270,Wolfenstein 3D,game,4.99,2007-08-03 00:00:00,-1,0,0,2270,69,"200,000 .. 500,000",Yes,250000
2280,Ultimate Doom,game,4.99,2007-08-03 00:00:00,-1,0,0,2280,125,"500,000 .. 1,000,000",Yes,750000
2290,Final DOOM,game,4.99,2007-08-03 00:00:00,-1,0,0,2290,120,"200,000 .. 500,000",Yes,250000
2300,DOOM II,game,4.99,2007-08-03 00:00:00,83,0,1,2300,90,"500,000 .. 1,000,000",Yes,750000
2310,QUAKE,game,9.99,2007-08-03 00:00:00,94,0,1,2310,167,"200,000 .. 500,000",Yes,250000
2320,QUAKE II,game,9.99,2007-08-03 00:00:00,-1,0,1,2320,291,"200,000 .. 500,000",Yes,250000
2330,QUAKE II Mission Pack: The Reckoning,game,4.99,2007-08-03 00:00:00,-1,0,1,2330,32,"200,000 .. 500,000",Yes,250000
2340,QUAKE II Mission Pack: Ground Zero,game,4.99,2007-08-03 00:00:00,-1,0,1,2340,1,"200,000 .. 500,000",Yes,250000
2350,QUAKE III: Team Arena,game,19.99,2007-08-03 00:00:00,69,0,1,2350,0,"200,000 .. 500,000",Yes,250000
2360,HeXen: Beyond Heretic,game,4.99,2007-08-03 00:00:00,-1,0,0,2360,50,"200,000 .. 500,000",Yes,250000
2370,HeXen: Deathkings of the Dark Citadel,game,4.99,2007-08-03 00:00:00,-1,0,0,2370,0,"100,000 .. 200,000",Yes,150000
2390,Heretic: Shadow of the Serpent Riders,game,4.99,2007-08-03 00:00:00,-1,0,1,2390,0,"200,000 .. 500,000",Yes,250000
2400,The Ship: Murder Party,game,9.99,2006-07-11 00:00:00,76,0,1,2400,233,"1,000,000 .. 2,000,000",Yes,150000
2450,Bloody Good Time,game,4.99,2010-10-29 00:00:00,73,0,1,2450,193,"100,000 .. 200,000",Yes,150000
2500,Shadowgrounds,game,6.99,2006-05-08 00:00:00,74,17,0,2500,186,"500,000 .. 1,000,000",Yes,750000
2520,Gumboy - Crazy Adventures™,game,4.99,2006-12-19 00:00:00,69,0,0,2520,0,"50,000 .. 100,000",Yes,75000
2540,RIP - Trilogy™,game,4.99,2007-06-01 00:00:00,-1,0,1,2540,1,"100,000 .. 200,000",Yes,150000
2570,Vigil: Blood Bitterness™,game,0.0,2007-06-29 00:00:00,61,0,0,2570,1,"50,000 .. 100,000",Yes,75000
2590,Alpha Prime,game,4.99,2007-11-07 00:00:00,59,17,0,2590,0,"200,000 .. 500,000",Yes,250000
2600,Vampire: The Masquerade - Bloodlines,game,19.99,2007-03-22 00:00:00,80,17,0,2600,350,"500,000 .. 1,000,000",Yes,750000
2610,GUN™,game,19.99,2006-10-13 00:00:00,76,17,0,2610,462,"50,000 .. 100,000",Yes,75000
2620,Call of Duty®,game,19.99,2006-10-13 00:00:00,91,0,1,2620,545,"200,000 .. 500,000",Yes,250000
2630,Call of Duty® 2,game,19.99,2006-10-13 00:00:00,86,0,1,2630,750,"200,000 .. 500,000",Yes,250000
2640,Call of Duty: United Offensive,game,19.99,2006-10-13 00:00:00,87,0,1,2640,0,"200,000 .. 500,000",Yes,250000
2710,Act of War: Direct Action,game,2.99,2008-03-12 00:00:00,82,0,1,2710,0,"20,000 .. 50,000",Yes,35000
2720,ThreadSpace: Hyperbol,game,9.99,2007-07-12 00:00:00,-1,0,1,2720,0,"20,000 .. 50,000",Yes,35000
2780,ARMA: Combat Operations,game,7.99,2008-03-12 00:00:00,74,0,1,2780,0,"20,000 .. 50,000",Yes,35000
2800,X2: The Threat,game,4.99,2006-07-21 00:00:00,72,0,0,2800,732,"200,000 .. 500,000",Yes,250000
2810,X3: Reunion,game,9.99,2006-07-21 00:00:00,71,0,0,2810,831,"200,000 .. 500,000",Yes,250000
2820,X3: Terran Conflict,game,15.99,2008-10-16 00:00:00,73,0,0,2820,972,"500,000 .. 1,000,000",Yes,750000
2840,X: Beyond the Frontier,game,4.99,2010-10-08 00:00:00,67,0,0,2840,648,"200,000 .. 500,000",Yes,250000
2850,X: Tension,game,4.99,2010-10-08 00:00:00,-1,0,0,2850,13,"20,000 .. 50,000",Yes,35000
2870,X Rebirth,game,29.99,2013-11-15 00:00:00,33,0,0,2870,1744,"200,000 .. 500,000",Yes,250000
2900,688(I) Hunter/Killer,game,9.99,2006-10-26 00:00:00,-1,0,1,2900,0,"20,000 .. 50,000",Yes,35000
2910,Fleet Command,game,9.99,2006-10-26 00:00:00,-1,0,0,2910,0,"50,000 .. 100,000",Yes,75000
2920,Sub Command,game,9.99,2006-10-26 00:00:00,84,0,1,2920,0,"20,000 .. 50,000",Yes,35000
2990,FlatOut 2™,game,9.99,2006-12-21 00:00:00,76,0,0,2990,293,"500,000 .. 1,000,000",Yes,750000
3010,Xpand Rally,game,4.99,2006-08-24 00:00:00,82,0,1,3010,939,"20,000 .. 50,000",Yes,35000
3020,Call of Juarez™,game,9.99,2007-11-08 00:00:00,72,17,1,3020,46,"100,000 .. 200,000",Yes,150000
3050,Xpand Rally Xtreme,game,4.99,2008-10-08 00:00:00,-1,0,1,3050,0,"20,000 .. 50,000",Yes,35000
3130,Men of War: Red Tide,game,4.99,2009-11-01 00:00:00,77,0,0,3130,0,"200,000 .. 500,000",Yes,250000
3170,King's Bounty: Armored Princess,game,9.99,2009-11-19 00:00:00,82,0,0,3170,1422,"200,000 .. 500,000",Yes,250000
3230,Genesis Rising,game,4.99,2007-08-06 00:00:00,57,0,1,3230,0,"20,000 .. 50,000",Yes,35000
3260,Safecracker: The Ultimate Puzzle Adventure,game,4.99,2007-08-29 00:00:00,69,0,0,3260,1,"50,000 .. 100,000",Yes,75000
3270,Painkiller Overdose,game,4.99,2007-10-30 00:00:00,65,17,1,3270,270,"200,000 .. 500,000",Yes,250000
3300,Bejeweled 2 Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3300,0,"50,000 .. 100,000",Yes,75000
3310,Chuzzle Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3310,0,"50,000 .. 100,000",Yes,75000
3320,Insaniquarium Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3320,116,"100,000 .. 200,000",Yes,150000
3330,Zuma Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3330,267,"100,000 .. 200,000",Yes,150000
3340,AstroPop Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3340,0,"20,000 .. 50,000",Yes,35000
3350,Bejeweled Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3350,0,"20,000 .. 50,000",Yes,35000
3360,Big Money! Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3360,0,"20,000 .. 50,000",Yes,35000
3380,Dynomite Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3380,0,"20,000 .. 50,000",Yes,35000
3390,Feeding Frenzy 2 Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3390,0,"100,000 .. 200,000",Yes,150000
3400,Hammer Heads Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3400,0,"20,000 .. 50,000",Yes,35000
3410,Heavy Weapon Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3410,0,"20,000 .. 50,000",Yes,35000
3420,Iggle Pop Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3420,0,"20,000 .. 50,000",Yes,35000
3430,Pizza Frenzy Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3430,0,"20,000 .. 50,000",Yes,35000
3440,Rocket Mania Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3440,0,"20,000 .. 50,000",Yes,35000
3450,Typer Shark! Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3450,0,"20,000 .. 50,000",Yes,35000
3460,Talismania Deluxe,game,4.99,2006-08-30 00:00:00,-1,0,0,3460,0,"20,000 .. 50,000",Yes,35000
3480,Peggle Deluxe,game,4.99,2007-03-06 00:00:00,-1,0,0,3480,214,"200,000 .. 500,000",Yes,250000
3483,Peggle Extreme,game,0.0,2007-09-11 00:00:00,-1,0,0,3483,1,"200,000 .. 500,000",Yes,250000
3490,Venice Deluxe,game,4.99,2007-06-25 00:00:00,-1,0,0,3490,0,"20,000 .. 50,000",Yes,35000
3500,Mystery P.I.™ - The Lottery Ticket,game,4.99,2007-10-16 00:00:00,-1,0,0,3500,0,"20,000 .. 50,000",Yes,35000
3510,Amazing Adventures The Lost Tomb™,game,4.99,2007-12-13 00:00:00,-1,0,0,3510,0,"20,000 .. 50,000",Yes,35000
3520,Mystery P.I.™ - The Vegas Heist,game,4.99,2008-06-05 00:00:00,-1,0,0,3520,0,"20,000 .. 50,000",Yes,35000
3530,Amazing Adventures Around the World,game,4.99,2009-04-15 00:00:00,-1,0,0,3530,0,"20,000 .. 50,000",Yes,35000
3540,Peggle™ Nights,game,4.99,2008-10-15 00:00:00,76,0,0,3540,237,"200,000 .. 500,000",Yes,250000
3560,Bejeweled Twist,game,4.99,2008-11-18 00:00:00,78,0,0,3560,0,"20,000 .. 50,000",Yes,35000
3570,Mystery P.I.™ - The New York Fortune,game,4.99,2009-01-28 00:00:00,-1,0,0,3570,0,"20,000 .. 50,000",Yes,35000
3580,The Wizard's Pen™,game,4.99,2009-02-18 00:00:00,-1,0,0,3580,0,"20,000 .. 50,000",Yes,35000
3590,Plants vs. Zombies GOTY Edition,game,4.99,2009-05-05 00:00:00,87,0,0,3590,480,"1,000,000 .. 2,000,000",Yes,150000
3600,Escape Rosecliff Island,game,4.99,2009-04-15 00:00:00,-1,0,0,3600,0,"50,000 .. 100,000",Yes,75000
3610,Mystery P.I. - Lost in Los Angeles,game,4.99,2009-07-27 00:00:00,-1,0,0,3610,0,"20,000 .. 50,000",Yes,35000
3620,Zuma's Revenge!,game,4.99,2009-09-15 00:00:00,78,0,0,3620,0,"100,000 .. 200,000",Yes,150000
3700,Sniper Elite,game,9.99,2009-07-16 00:00:00,76,0,0,3700,262,"500,000 .. 1,000,000",Yes,750000
3710,Judge Dredd: Dredd vs. Death,game,7.99,2009-03-26 00:00:00,55,0,1,3710,8,"50,000 .. 100,000",Yes,75000
3720,Evil Genius,game,9.99,2009-06-22 00:00:00,75,0,0,3720,287,"200,000 .. 500,000",Yes,250000
3730,Aliens versus Predator Classic 2000,game,4.99,2010-01-15 00:00:00,-1,17,1,3730,20,"200,000 .. 500,000",Yes,250000
3800,Advent Rising,game,9.99,2006-09-14 00:00:00,70,0,0,3800,0,"50,000 .. 100,000",Yes,75000
3810,BloodRayne,game,9.99,2006-09-14 00:00:00,65,17,0,3810,111,"50,000 .. 100,000",Yes,75000
3830,Psychonauts,game,9.99,2006-10-11 00:00:00,87,0,0,3830,491,"2,000,000 .. 5,000,000",Yes,3500000
3900,Sid Meier's Civilization® IV,game,19.99,2006-10-25 00:00:00,94,0,1,3900,49,"1,000,000 .. 2,000,000",Yes,150000
3910,Sid Meier's Civilization® III Complete,game,4.99,2006-10-25 00:00:00,90,0,1,3910,1166,"2,000,000 .. 5,000,000",Yes,3500000
3920,Sid Meier's Pirates!,game,9.99,2005-07-11 00:00:00,88,0,0,3920,296,"500,000 .. 1,000,000",Yes,750000
3960,Shattered Union,game,4.99,2006-10-25 00:00:00,67,0,1,3960,0,"20,000 .. 50,000",Yes,35000
3980,CivCity: Rome,game,9.99,2007-04-06 00:00:00,67,0,0,3980,0,"50,000 .. 100,000",Yes,75000
3990,Civilization IV®: Warlords,game,4.99,2007-04-06 00:00:00,84,0,0,3990,0,"1,000,000 .. 2,000,000",Yes,150000
4000,Garry's Mod,game,9.99,2006-11-29 00:00:00,-1,0,1,4000,12422,"10,000,000 .. 20,000,000",Yes,1500000
4100,Poker Superstars II,game,9.99,2006-10-05 00:00:00,-1,0,0,4100,0,"0 .. 20,000",Yes,10000
4230,RACE - The WTCC Game,game,39.99,2006-11-24 00:00:00,-1,0,1,4230,0,"200,000 .. 500,000",Yes,250000
4290,RACE: Caterham Expansion,game,4.99,2007-06-22 00:00:00,-1,0,1,4290,0,"0 .. 20,000",Yes,10000
4300,RoboBlitz,game,9.99,2006-11-07 00:00:00,80,0,0,4300,78,"20,000 .. 50,000",Yes,35000
4420,Silverfall,game,9.99,2007-03-20 00:00:00,62,0,0,4420,0,"20,000 .. 50,000",Yes,35000
4460,City Life 2008,game,9.99,2008-09-29 00:00:00,-1,0,0,4460,0,"20,000 .. 50,000",Yes,35000
4470,Silverfall: Earth Awakening,game,9.99,2008-07-18 00:00:00,-1,0,1,4470,0,"20,000 .. 50,000",Yes,35000
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,game,19.99,2007-03-20 00:00:00,82,17,1,4500,493,"1,000,000 .. 2,000,000",Yes,150000
4520,Full Spectrum Warrior,game,9.99,2007-07-17 00:00:00,80,0,1,4520,124,"100,000 .. 200,000",Yes,150000
4530,Full Spectrum Warrior: Ten Hammers,game,9.99,2007-07-17 00:00:00,70,0,1,4530,1,"100,000 .. 200,000",Yes,150000
4560,Company of Heroes,game,19.99,2007-07-17 00:00:00,93,17,1,4560,175,"2,000,000 .. 5,000,000",Yes,3500000
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",game,12.99,2007-08-07 00:00:00,86,17,1,4570,309,"1,000,000 .. 2,000,000",Yes,150000
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",game,12.99,2007-08-07 00:00:00,87,17,1,4580,543,"1,000,000 .. 2,000,000",Yes,150000
4700,Medieval II: Total War™,game,19.99,2007-11-27 00:00:00,88,0,1,4700,469,"2,000,000 .. 5,000,000",Yes,3500000
4720,Condemned: Criminal Origins,game,14.95,2012-10-29 00:00:00,78,17,0,4720,312,"200,000 .. 500,000",Yes,250000
4760,Rome: Total War™ - Collection,game,9.99,2007-08-28 00:00:00,92,0,1,4760,897,"1,000,000 .. 2,000,000",Yes,150000
4770,Rome: Total War™ - Alexander,game,4.99,2007-08-28 00:00:00,79,0,1,4770,33,"500,000 .. 1,000,000",Yes,750000
4780,Medieval II: Total War™ Kingdoms,game,11.99,2007-11-27 00:00:00,85,0,1,4780,0,"200,000 .. 500,000",Yes,250000
4800,Heroes of Annihilated Empires,game,14.99,2006-11-22 00:00:00,65,0,1,4800,0,"50,000 .. 100,000",Yes,75000
4850,Cossacks: Back to War,game,4.99,2010-09-02 00:00:00,60,0,1,4850,1134,"100,000 .. 200,000",Yes,150000
4870,Cossacks: Art of War,game,4.99,2011-08-26 00:00:00,74,0,0,4870,0,"100,000 .. 200,000",Yes,150000
4880,Cossacks: European Wars,game,4.99,2011-08-26 00:00:00,74,0,0,4880,1,"100,000 .. 200,000",Yes,150000
4890,Cossacks II: Battle for Europe,game,4.99,2011-08-26 00:00:00,69,0,1,4890,71,"100,000 .. 200,000",Yes,150000
4900,Zen of Sudoku,game,4.99,2006-12-14 00:00:00,-1,0,0,4900,0,"0 .. 20,000",Yes,10000
4920,Natural Selection 2,game,9.99,2012-10-30 00:00:00,80,0,1,4920,627,"1,000,000 .. 2,000,000",Yes,150000
6000,STAR WARS™ Republic Commando™,game,9.99,2009-07-08 00:00:00,78,0,0,6000,369,"1,000,000 .. 2,000,000",Yes,150000
6010,Indiana Jones® and the Fate of Atlantis™,game,5.99,2009-07-08 00:00:00,-1,0,0,6010,419,"100,000 .. 200,000",Yes,150000
6020,STAR WARS™ Jedi Knight - Jedi Academy™,game,9.99,2009-09-16 00:00:00,81,0,1,6020,1254,"1,000,000 .. 2,000,000",Yes,150000
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,game,9.99,2009-09-16 00:00:00,89,0,1,6030,127,"1,000,000 .. 2,000,000",Yes,150000
6040,The Dig®,game,5.99,2009-07-08 00:00:00,-1,0,0,6040,801,"100,000 .. 200,000",Yes,150000
6060,STAR WARS™ Battlefront™ II,game,9.99,2009-07-08 00:00:00,78,0,0,6060,618,"2,000,000 .. 5,000,000",Yes,3500000
6080,Thrillville®: Off the Rails™,game,9.99,2009-07-08 00:00:00,70,0,0,6080,17,"20,000 .. 50,000",Yes,35000
6090,Armed and Dangerous®,game,5.99,2009-07-08 00:00:00,78,0,0,6090,100,"20,000 .. 50,000",Yes,35000
6120,Shank,game,9.99,2010-10-25 00:00:00,67,17,0,6120,255,"200,000 .. 500,000",Yes,250000
6200,Ghost Master®,game,4.99,2006-12-21 00:00:00,81,0,0,6200,21,"100,000 .. 200,000",Yes,150000
6210,Vegas: Make It Big™,game,4.99,2006-12-21 00:00:00,-1,0,0,6210,0,"20,000 .. 50,000",Yes,35000
6220,FlatOut,game,7.49,2007-02-02 00:00:00,72,0,1,6220,78,"200,000 .. 500,000",Yes,250000
6250,Making History: The Calm & the Storm,game,4.99,2007-03-13 00:00:00,70,0,1,6250,0,"50,000 .. 100,000",Yes,75000
6270,Ducati World Championship,game,4.99,2007-09-21 00:00:00,35,0,1,6270,0,"20,000 .. 50,000",Yes,35000
6310,The Longest Journey,game,9.99,2007-05-01 00:00:00,91,0,0,6310,14,"200,000 .. 500,000",Yes,250000
6370,Bloodline Champions,game,0.0,2011-10-28 00:00:00,79,0,1,6370,70,"500,000 .. 1,000,000",Yes,750000
6400,Joint Task Force,game,9.99,2007-03-27 00:00:00,68,0,1,6400,0,"20,000 .. 50,000",Yes,35000
6420,Nexus - The Jupiter Incident,game,9.99,2007-07-03 00:00:00,77,0,1,6420,0,"50,000 .. 100,000",Yes,75000
6510,Lost Planet™: Extreme Condition,game,14.99,2007-06-26 00:00:00,66,0,1,6510,74,"200,000 .. 500,000",Yes,250000
6550,Devil May Cry® 3 Special Edition,game,19.99,2007-06-12 00:00:00,66,0,0,6550,90,"200,000 .. 500,000",Yes,250000
6600,Bullet Candy,game,3.99,2007-02-14 00:00:00,-1,0,0,6600,0,"50,000 .. 100,000",Yes,75000
6800,Commandos: Behind Enemy Lines,game,3.99,2007-03-15 00:00:00,-1,0,1,6800,63,"500,000 .. 1,000,000",Yes,750000
6810,Commandos: Beyond the Call of Duty,game,3.99,2007-03-15 00:00:00,-1,0,1,6810,12,"500,000 .. 1,000,000",Yes,750000
6830,Commandos 2: Men of Courage,game,3.99,2007-03-15 00:00:00,87,0,1,6830,201,"500,000 .. 1,000,000",Yes,750000
6840,Commandos 3: Destination Berlin,game,3.99,2007-03-15 00:00:00,72,0,1,6840,14,"500,000 .. 1,000,000",Yes,750000
6850,Hitman 2: Silent Assassin,game,6.99,2007-03-15 00:00:00,87,0,0,6850,63,"1,000,000 .. 2,000,000",Yes,150000
6860,Hitman: Blood Money,game,8.99,2007-03-15 00:00:00,82,17,0,6860,435,"1,000,000 .. 2,000,000",Yes,150000
6870,Battlestations: Midway,game,6.99,2007-03-15 00:00:00,76,0,0,6870,0,"200,000 .. 500,000",Yes,250000
6880,Just Cause,game,6.99,2007-03-15 00:00:00,75,17,0,6880,20,"1,000,000 .. 2,000,000",Yes,150000
6900,Hitman: Codename 47,game,6.99,2007-03-15 00:00:00,73,17,0,6900,62,"1,000,000 .. 2,000,000",Yes,150000
6910,Deus Ex: Game of the Year Edition,game,6.99,2007-03-29 00:00:00,90,0,1,6910,324,"1,000,000 .. 2,000,000",Yes,150000
6920,Deus Ex: Invisible War,game,6.99,2007-03-29 00:00:00,80,0,0,6920,24,"500,000 .. 1,000,000",Yes,750000
6980,Thief: Deadly Shadows,game,8.99,2007-03-29 00:00:00,85,0,0,6980,254,"500,000 .. 1,000,000",Yes,750000
7000,Tomb Raider: Legend,game,6.99,2007-03-29 00:00:00,82,0,0,7000,714,"500,000 .. 1,000,000",Yes,750000
7010,Project: Snowblind,game,5.99,2007-03-29 00:00:00,76,0,1,7010,0,"50,000 .. 100,000",Yes,75000
7020,Rogue Trooper,game,9.99,2007-03-29 00:00:00,69,0,1,7020,0,"50,000 .. 100,000",Yes,75000
7110,Jade Empire™: Special Edition,game,14.99,2007-02-27 00:00:00,81,0,0,7110,0,"200,000 .. 500,000",Yes,250000
7200,Trackmania United Forever Star Edition,game,29.99,2008-04-16 00:00:00,80,0,1,7200,4774,"100,000 .. 200,000",Yes,150000
7210,"Runaway, A Road Adventure",game,9.99,2007-03-14 00:00:00,74,0,0,7210,14,"100,000 .. 200,000",Yes,150000
7220,"Runaway, The Dream of The Turtle",game,9.99,2007-03-14 00:00:00,-1,0,0,7220,0,"100,000 .. 200,000",Yes,150000
7260,Loki,game,9.99,2007-11-05 00:00:00,-1,0,1,7260,0,"20,000 .. 50,000",Yes,35000
7340,Azada,game,9.99,2010-04-21 00:00:00,-1,0,0,7340,0,"0 .. 20,000",Yes,10000
7530,Two Worlds II Castle Defense,game,9.99,2011-06-14 00:00:00,-1,0,0,7530,320,"200,000 .. 500,000",Yes,250000
7600,Sid Meier's Railroads!,game,9.99,2007-05-04 00:00:00,77,0,1,7600,165,"500,000 .. 1,000,000",Yes,750000
7610,Railroad Tycoon 3,game,9.99,2007-05-04 00:00:00,80,0,1,7610,46,"200,000 .. 500,000",Yes,250000
7620,Railroad Tycoon II Platinum,game,4.99,2007-05-04 00:00:00,89,0,0,7620,1244,"200,000 .. 500,000",Yes,250000
7650,X-COM: Terror From the Deep,game,4.99,2007-05-04 00:00:00,-1,0,0,7650,66,"500,000 .. 1,000,000",Yes,750000
7660,X-COM: Apocalypse,game,4.99,2008-09-04 00:00:00,-1,0,0,7660,18,"500,000 .. 1,000,000",Yes,750000
7730,X-COM: Interceptor,game,4.99,2008-09-04 00:00:00,-1,0,1,7730,0,"500,000 .. 1,000,000",Yes,750000
7760,X-COM: UFO Defense,game,4.99,2008-09-04 00:00:00,-1,0,0,7760,2235,"1,000,000 .. 2,000,000",Yes,150000
7770,X-COM: Enforcer,game,4.99,2008-09-04 00:00:00,65,0,1,7770,0,"500,000 .. 1,000,000",Yes,750000
